Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
74,Vance McDonald,PIT,28,TE,15,14,72,50,69.40%,610,12.2,4,33,75,8.5,3.3,40.7,2
75,Donte Moncrief,JAX,25,WR,16,14,89,48,53.90%,668,13.9,3,28,80,7.5,3,41.8,1
76,Rob Gronkowski,NWE,29,TE,13,11,72,47,65.30%,682,14.5,3,34,42,9.5,3.6,52.5,1
77,Duke Johnson,CLE,25,RB,16,2,62,47,75.80%,429,9.1,3,25,32,6.9,2.9,26.8,1
78,A.J. Green,CIN,30,WR,9,9,77,46,59.70%,694,15.1,6,37,38,9,5.1,77.1,2
79,Evan Engram,NYG,24,TE,11,8,64,45,70.30%,577,12.8,3,22,54,9,4.1,52.5,0
80,Seth Roberts,OAK,27,WR,15,7,64,45,70.30%,494,11,2,24,44,7.7,3,32.9,0
81,Josh Doctson,WAS,26,WR,15,12,78,44,56.40%,532,12.1,2,31,32,6.8,2.9,35.5,0
82,Devin Funchess,CAR,24,WR,14,12,79,44,55.70%,549,12.5,4,35,27,6.9,3.1,39.2,0
83,Antonio Callaway,CLE,21,WR,16,11,79,43,54.40%,586,13.6,5,27,71,7.4,2.7,36.6,1
84,Christian Kirk,ARI,22,WR,12,7,68,43,63.20%,590,13.7,3,21,75,8.7,3.6,49.2,0
85,Joe Mixon,CIN,22,RB,14,13,55,43,78.20%,296,6.9,1,14,21,5.4,3.1,21.1,0
86,C.J. Uzomah,CIN,25,TE,16,15,64,43,67.20%,439,10.2,3,21,29,6.9,2.7,27.4,0
87,Mike Williams,LAC,24,WR,16,5,66,43,65.20%,664,15.4,10,36,55,10.1,2.7,41.5,0
88,Jarius Wright,CAR,29,WR,16,6,59,43,72.90%,447,10.4,1,24,33,7.6,2.7,27.9,3
89,Kendrick Bourne,SFO,23,WR,16,8,66,42,63.60%,487,11.6,4,30,33,7.4,2.6,30.4,1
90,John Brown,BAL,28,WR,16,15,97,42,43.30%,715,17,5,28,71,7.4,2.6,44.7,0
91,Courtland Sutton,DEN,23,WR,16,9,84,42,50.00%,704,16.8,4,30,42,8.4,2.6,44,0
92,Josh Gordon,2TM,27,WR,12,12,71,41,57.70%,737,18,4,30,55,10.4,3.4,61.4,0
93,DeSean Jackson,TAM,32,WR,12,10,74,41,55.40%,774,18.9,4,31,75,10.5,3.4,64.5,0
94,Chris Thompson,WAS,28,RB,10,0,55,41,74.50%,268,6.5,1,12,23,4.9,4.1,26.8,1
95,Tyrell Williams,LAC,26,WR,16,10,65,41,63.10%,653,15.9,5,30,75,10,2.6,40.8,2
96,Dalvin Cook,MIN,23,RB,11,10,49,40,81.60%,305,7.6,2,15,27,6.2,3.6,27.7,2
97,Cooper Kupp,LAR,25,WR,8,8,55,40,72.70%,566,14.2,6,25,70,10.3,5,70.8,0
98,Sammy Watkins,KAN,25,WR,10,9,55,40,72.70%,519,13,3,24,50,9.4,4,51.9,1
99,Austin Ekeler,LAC,23,RB,14,3,53,39,73.60%,404,10.4,3,18,44,7.6,2.8,28.9,1
100,Chris Herndon,NYJ,22,TE,16,12,56,39,69.60%,502,12.9,4,25,32,9,2.4,31.4,2
101,Rashard Higgins,CLE,24,WR,13,1,53,39,73.60%,572,14.7,4,27,40,10.8,3,44,2
102,Curtis Samuel,CAR,22,WR,13,8,65,39,60.00%,494,12.7,5,24,53,7.6,3,38,1
103,Devontae Booker,DEN,26,RB,16,0,51,38,74.50%,275,7.2,0,9,30,5.4,2.4,17.2,1
104,Randall Cobb,GNB,28,WR,9,6,61,38,62.30%,383,10.1,2,18,75,6.3,4.2,42.6,2
105,Keelan Cole,JAX,25,WR,16,11,70,38,54.30%,491,12.9,1,25,35,7,2.4,30.7,2
106,Quincy Enunwa,NYJ,26,WR,11,10,68,38,55.90%,449,11.8,1,22,42,6.6,3.5,40.8,2
107,Jacquizz Rodgers,TAM,28,RB,16,0,45,38,84.40%,304,8,0,13,24,6.8,2.4,19,1
108,Marquez Valdes-Scantling,GNB,24,WR,16,10,73,38,52.10%,581,15.3,2,23,60,8,2.4,36.3,0
109,Jermaine Kearse,NYJ,28,WR,14,9,76,37,48.70%,371,10,1,20,29,4.9,2.6,26.5,0
110,Kenny Stills,MIA,26,WR,15,15,64,37,57.80%,553,14.9,6,27,75,8.6,2.5,36.9,1
111,Taywan Taylor,TEN,23,WR,13,5,56,37,66.10%,466,12.6,1,19,55,8.3,2.8,35.8,1
112,Ryan Switzer,PIT,24,WR,16,1,44,36,81.80%,253,7,1,15,24,5.8,2.3,15.8,2
113,Ian Thomas,CAR,22,TE,16,6,49,36,73.50%,333,9.3,2,20,31,6.8,2.3,20.8,0
114,Javorius Allen,BAL,27,RB,14,0,43,35,81.40%,196,5.6,2,11,17,4.6,2.5,14,1
115,Giovani Bernard,CIN,27,RB,12,4,48,35,72.90%,218,6.2,0,8,26,4.5,2.9,18.2,0
116,Ryan Grant,IND,28,WR,14,10,52,35,67.30%,334,9.5,1,18,23,6.4,2.5,23.9,0
117,Chris Hogan,NWE,31,WR,16,7,55,35,63.60%,532,15.2,3,22,63,9.7,2.2,33.3,0
118,Marvin Jones,DET,28,WR,9,9,62,35,56.50%,508,14.5,5,27,39,8.2,3.9,56.4,0
119,Phillip Lindsay*,DEN,24,RB,15,8,47,35,74.50%,241,6.9,1,12,29,5.1,2.3,16.1,0
120,Laquon Treadwell,MIN,23,WR,15,7,53,35,66.00%,302,8.6,1,16,22,5.7,2.3,20.1,0
121,Ben Watson,NOR,38,TE,16,4,46,35,76.10%,400,11.4,2,21,32,8.7,2.2,25,0
122,Mark Andrews,BAL,23,TE,16,3,50,34,68.00%,552,16.2,3,28,74,11,2.1,34.5,0
123,Mike Davis,SEA,25,WR,15,2,42,34,81.00%,214,6.3,1,10,18,5.1,2.3,14.3,0
124,O.J. Howard,TAM,24,TE,10,8,48,34,70.80%,565,16.6,5,28,75,11.8,3.4,56.5,0
125,LeSean McCoy,BUF,30,RB,14,13,46,34,73.90%,238,7,0,10,24,5.2,2.4,17,0
126,Ricky Seals-Jones,ARI,23,TE,15,5,69,34,49.30%,343,10.1,1,14,40,5,2.3,22.9,0
127,Gerald Everett,LAR,24,TE,16,0,50,33,66.00%,320,9.7,3,16,40,6.4,2.1,20,0
128,Michael Gallup,DAL,22,WR,16,8,68,33,48.50%,507,15.4,2,21,49,7.5,2.1,31.7,0
